Title,Authors,Published Year,Journal,Volume,Issue,Pages,DOI
The Effect of Instructor-created Video Programs to Teach Students with Disabilities: A Literature Review,"Mechling, Linda",2005,Journal of Special Education Technology,20,2,25-36,
Review of Twenty-First Century Portable Electronic Devices for Persons with Moderate Intellectual Disabilities and Autism Spectrum Disorders,"Mechling, Linda C.",2011,Education and Training in Autism and Developmental Disabilities,46,4,479-498,
Does Digital Literacy Empower Adolescent Girls in Low- and Middle-Income Countries: A Systematic Review,"Meherali, S.; Rahim, K. A.; Campbell, S.; Lassi, Z. S.",2021,Front Public Health,9,,761394,10.3389/fpubh.2021.761394
Phone-based interventions to control obesity in children under six years of age: A systematic review on features and effects,"Meidani, Z.; Nabovati, E.; Gohari, S.; Chopannejad, S.",2018,Journal of Comprehensive Pediatrics,9,3,e66571,http://dx.doi.org/10.5812/compreped.66571
Do video game interventions improve motor outcomes in children with developmental coordination disorder? A systematic review using the ICF framework,"Mentiplay, Benjamin F.; FitzGerald, Tara L.; Clark, Ross A.; Bower, Kelly J.; Denehy, Linda; Spittle, Alicia J.",2019,BMC pediatrics,19,1,Jan-15,10.1186/s12887-018-1381-7
Cross-sectional and longitudinal epidemiological studies of Internet gaming disorder: A systematic review of the literature,"Mihara, S.; Higuchi, S.",2017,Psychiatry and Clinical Neurosciences,71,7,425-444,
Educational virtual environments: A ten-year review of empirical research (1999–2009),"Mikropoulos, Tassos A; Natsis, Antonis",2011,Computers & Education,56,3,769-780,
Systematic review of text-messaging interventions to promote healthy behaviors in pediatric and adolescent populations: implications for clinical practice and research,"Militello, L. K.; Kelly, S. A.; Melnyk, B. M.",2012,"Worldviews on evidence-based nursing / Sigma Theta Tau International, Honor Society of Nursing",9,2,66-77,
Possible Effects of Internet Use on Cognitive Development in Adolescence,"Mills, K. L.",2016,Media and Communication,4,3,4-Dec,
Overweight and obesity in youth with type 1 diabetes,"Minges, K. E.; Whittemore, R.; Grey, M.",2013,Annual review of nursing research,31,,47-69,
Interventions to Prevent and Reduce Cyber Abuse of Youth: A Systematic Review,"Mishna, Faye; Cook, Charlene; Saini, Michael; Wu, Meng-Jia; MacFadden, Robert",2011,Research on Social Work Practice,21,1,May-14,10.1177/1049731509351988
Risk factors of overweight and obesity in childhood and adolescence in South Asian countries: A systematic review of the evidence,"Mistry, S. K.; Puthussery, S.",2015,Public Health,129,3,200-209,
Efficacy of virtual-reality interventions to increase physical activity in children and adolescents with cerebral palsy: A systematic review,"Mitchell, L.; Ziviani, J.; Oftedal, S.; Boyd, R.",2012,Developmental Medicine and Child Neurology,54,,48-49,
Is aggression in children with behavioural and emotional difficulties associated with television viewing and video game playing? A systematic review,"Mitrofan, O.; Paul, M.; Spencer, N.",2009,"Child: care, health and development",35,1,May-15,
Early-life determinants of overweight and obesity: A review of systematic reviews,"Monasta, L.; Batty, G. D.; Cattaneo, A.; Lutje, V.; Ronfani, L.; Van Lenthe, F. J.; Brug, J.",2010,Obesity Reviews,11,10,695-708,
Loot box engagement: A scoping review of primary studies on prevalence and association with problematic gaming and gambling,"Montiel, I.; Basterra-González, A.; Machimbarrena, J. M.; Ortega-Barón, J.; González-Cabrera, J.",2022,PLoS One,17,1,e0263177,10.1371/journal.pone.0263177
The Implications of Screen Media Use for the Sleep Behavior of Children Ages 0-5: a Systematic Review of the Literature,"Moorman, J. D.; Morgan, P.; Adams, T. L.",2019,Current Sleep Medicine Reports,5,3,164-172,http://dx.doi.org/10.1007/s40675-019-00151-0
Learning With Computer-Based Learning Environments: A Literature Review of Computer Self-Efficacy,"Moos, D. C.; Azevedo, R.",2009,Review of Educational Research,79,2,576-600,
Identifying factors associated with obesity traits in undergraduate students: a scoping review.,"Morassut, Rita E; Tian, Chenchen; Meyre, David",2020,International journal of public health,65,7,1193-1204,10.1007/s00038-020-01458-4
Gaming for Earth: Serious games and gamification to engage consumers in pro-environmental behaviours for energy efficiency,"Morganti, L.; Pallavicini, F.; Cadel, E.; Candelieri, A.; Archetti, F.; Mantovani, F.",2017,Energy Research & Social Science,29,,95-102,
Impacts of television viewing on young children's literacy development in the USA: A review of the literature,"Moses, Annie M. mosesann msu edu",2008,Journal of Early Childhood Literacy,8,1,67-102,10.1177/1468798407087162
Risk Factors of Childhood Obesity and Overweight in Young Children and Adolescents Aged Between 5 to 15 Years in Urban Bangladesh: A Scoping Review,"Muhammad, Faisal; Alauddin Chhowdhury, A. B. M.; Hasin, Sifat Rokhsana; Musa, Mustapha Kabir; Chowdhury, Moniruddin",2016,Malaysian Journal of Nutrition,22,3,455-459,
"Interdisciplinary, child-centred collaboration could increase the success of potentially successful Internet-based physical activity interventions","Muller, A. M.; Khoo, S.",2016,Acta Paediatrica,105,3,234-243,
Effects of different types of auditory temporal training on language skills: a systematic review,"Murphy, C. F. B.; Schochat, E.",2013,Clinics,68,10,1364-1370,
COVID-19 and screen-based sedentary behaviour: Systematic review of digital screen time and metabolic syndrome in adolescents,"Musa, S.; Elyamani, R.; Dergaa, I.",2022,PLoS ONE,17,3-Mar,,10.1371/journal.pone.0265560
Overweight and obesity in Eastern Mediterranean Region: Prevalence and possible causes,"Musaiger, A. O.",2011,Journal of Obesity,2011,,,10.1155/2011/407237
Mathematics Interventions for Students with Learning Disabilities (LD) in Secondary School: A Review of the Literature,"Myers, Jonté A.; Wang, Jun; Brownell, Mary T.; Gagnon, Joseph Calvin",2015,Learning Disabilities: A Contemporary Journal,13,2,207-235,
The Impact of Internet and Videogaming Addiction on Adolescent Vision: A Review of the Literature,"Mylona, Ioanna; Deres, Emmanouil S.; Dere, Georgianna-Despoina S.; Tsinopoulos, Ioannis; Glynatsis, Mikes",2020,Frontiers in public health,8,,63,10.3389/fpubh.2020.00063
A systematic review of digital and computer-based alcohol intervention programs in primary care.,"Nair NK,; Newton NC,; Shakeshaft A,; Wallace P,; Teesson M",2015,Current Drug Abuse Reviews,,,,
HOW USE OF SCREEN MEDIA AFFECTS THE EMOTIONAL DEVELOPMENT OF INFANTS,"Napier, Carole",2014,Primary Health Care,24,2,18-25,
"Behavioral, contextual and biological factors associated with obesity during adolescence: A systematic review","Narciso, J.; Silva, A. J.; Rodrigues, V.; Monteiro, M. J.; Almeida, A.; Saavedra, R.; Costa, A. M.",2019,PloS one,14,4,e0214941,http://dx.doi.org/10.1371/journal.pone.0214941
Effective strategies for promoting physical activity through the use of digital media among school-age children: A systematic review,"Navarra, G.A.; Thomas, E.; Scardina, A.; Izadi, M.; Zangla, D.; De Dominicis, S.; Cataldo, P.; Proia, P.; Bellafiore, M.",2021,Sustainability,13,20,,10.3390/su132011270
Risk and protective factors of drug abuse among adolescents: a systematic review.,"Nawi, Azmawati Mohammed; Ismail, Rozmi; Ibrahim, Fauziah; Hassan, Mohd Rohaizat; Manaf, Mohd Rizal Abdul; Amit, Noh; Ibrahim, Norhayati; Shafurdin, Nurul Shafini",2021,BMC public health,21,1,2088,10.1186/s12889-021-11906-2
"Effects of excessive screen time on neurodevelopment, learning, memory, mental health, and neurodegeneration: A scoping review","Neophytou, Eliana; Manwell, Laurie A.; Eikelboom, Roelof",2019,International Journal of Mental Health and Addiction,,,,10.1007/s11469-019-00182-2
"Effects of excessive screen time on neurodevelopment, learning, memory, mental health, and neurodegeneration: A scoping review","Neophytou, Eliana; Manwell, Laurie A.; Eikelboom, Roelof",2021,International Journal of Mental Health and Addiction,19,3,724-744,10.1007/s11469-019-00182-2
Is virtual reality effective in improving the motor performance of children with developmental coordination disorder? A systematic review,"Neto, J. L. C.; de Oliveira, C. C.; Greco, A. L.; Zamuner, A. R.; Moreira, R. C.; Tudella, E.",2019,European Journal of Physical and Rehabilitation Medicine,55,2,291-300,10.23736/s1973-9087.18.05427-8
Brief emergency department interventions for youth who use alcohol and other drugs: A systematic review,"Newton, A. S.; Dong, K.; Mabood, N.; Ata, N.; Ali, S.; Gokiert, R.; Vandermeer, B.; Tjosvold, L.; Hartling, L.; Wild, T. C.",2013,Pediatric Emergency Care,29,5,673-684,
Risk and protective factors and processes for behavioral sleep problems among preschool and early school-aged children: A systematic review,"Newton, A. T.; Honaker, S. M.; Reid, G. J.",2020,Sleep medicine reviews,52,,101303,http://dx.doi.org/10.1016/j.smrv.2020.101303
A review of electronic interventions for prevention and treatment of overweight and obesity in young people (Structured abstract),"Nguyen, B.; Kornman, K. P.; Baur, L. A.",2011,Obesity Reviews,12,501,e298-e314,
Comparing Online and Offline Self-Disclosure: A Systematic Review,"Nguyen, M.; Bin, Y. S.; Campbell, A.",2012,Cyberpsychology Behavior and Social Networking,15,2,103-111,
Comparative effects of computer-assisted instruction: A synthesis of reviews,"Niemiec, Richard; Walberg, Herbert J.",1987,Journal of Educational Computing Research,3,1,19-37,
Perceived Message Effectiveness Measures in Tobacco Education Campaigns: A Systematic Review,"Noar, S. M.; Bell, T.; Kelley, D.; Barker, J.; Yzer, M.",2018,Communication Methods and Measures,12,4,295-313,10.1080/19312458.2018.1483017
A 10-year systematic review of HIV/AIDS mass communication campaigns: have we made progress?,"Noar, Seth M; Palmgreen, Philip; Chabot, Melissa; Dobransky, Nicole; Zimmerman, Rick S",2009,Journal of health communication,14,1,15-42,
Anti-bullying programs and Information and Communication Technologies (ICTs): A systematic review,"Nocentini, A.; Zambuto, V.; Menesini, E.",2015,Aggression and Violent Behavior,23,,52-60,10.1016/j.avb.2015.05.012
Cybervictimization of Young People With an Intellectual or Developmental Disability: Risks Specific to Sexual Solicitation,"Normand, C. L.; Sallafranque-St-Louis, F.",2016,J Appl Res Intellect Disabil,29,2,99-110,10.1111/jar.12163
Active video games in schools and effects on physical activity and health: A systematic review,"Norris, E.; Hamer, M.; Stamatakis, E.",2016,Journal of Pediatrics,172,,40-46e5,
"Media Exposure and Tobacco, Illicit Drugs, and Alcohol Use Among Children and Adolescents: A Systematic Review","Nunez-Smith, M.; Wolf, E.; Huang, H. M.; Chen, P. G.; Lee, L.; Emanuel, E. J.; Gross, C. P.",2010,Substance Abuse,31,3,174-192,
A Review of e-Health Interventions for Maternal and Child Health in Sub-Sahara Africa,"Obasola, O. I.; Mabawonku, I.; Lagunju, I.",2015,Maternal and child health journal,19,8,1813-1824,
Home Environmental Influences on Childhood Obesity in the Latino Population: A Decade Review of Literature,"Ochoa, Alejandra; Berge, Jerica M.",2017,Journal Of Immigrant And Minority Health,19,2,430-447,10.1007/s10903-016-0539-3
The use of digital technology to improve and monitor handwashing among children 12 years or younger in educational settings: a systematic review,"Ofori, S. K.; Hung, Y. W.; Muniz-Rodriguez, K.; Kakau, R. J.; Alade, S. E.; Diallo, K.; Sullivan, K. L.; Schwind, J. S.; Cowling, B. J.; Fung, I. C. H.",2019,American Journal of Tropical Medicine and Hygiene,101,5 Supplement,185,http://dx.doi.org/10.4269/ajtmh.abstract2019
The use of digital technology to improve and monitor handwashing among children 12 years or younger in educational settings: a scoping review.,"Ofori, Sylvia K; Hung, Yuen Wai; Schwind, Jessica S; Muniz-Rodriguez, Kamalich; Kakou, Reece J; Alade, Sunmisola E; Diallo, Kadiatou; Sullivan, Kelly L; Cowling, Benjamin J; Fung, I C H",2020,International journal of environmental health research,,,Jan-18,10.1080/09603123.2020.1784398
Effects of Computer-Assisted Instruction on the Mathematics Performance of Students with Learning Disabilities: A Synthesis of the Research,"Ok, M. W.; Bryant, D. P.; Bryant, B. R.",2020,Exceptionality,28,1,30-44,10.1080/09362835.2019.1579723
Use of iPads and iPods for Academic Performance and Engagement of PreK-12 Students with Disabilities: A Research Synthesis,"Ok, M. W.; Kim, W.",2017,Exceptionality,25,1,54-75,
Innovative interventions to promote behavioral change in overweight or obese individuals: A review of the literature,"Okorodudu, Daniel E.; Bosworth, Hayden B.; Corsino, Leonor",2015,Annals Of Medicine,47,3,179-185,10.3109/07853890.2014.931102
Towards prosocial design: A scoping review of the use of robots and virtual agents to trigger prosocial behaviour,"Oliveira, R; Arriaga, P; Santos, FP; Mascarenhas, S; Paiva, A",2021,COMPUTERS IN HUMAN BEHAVIOR,114,,,10.1016/j.chb.2020.106547
A systematic review of technology-based interventions for unintentional injury prevention education and behaviour change,"Omaki, E.; Rizzutti, N.; Shields, W.; Zhu, J.; McDonald, E.; Stevens, M. W.; Gielen, A.",2017,Injury Prevention,23,2,138-+,
Improving Reading Through Videogames and Digital Apps: A Systematic Review,"Ostiz-Blanco, M.; Bernacer, J.; Garcia-Arbizu, I.; Diaz-Sanchez, P.; Rello, L.; Lallier, M.; Arrondo, G.",2021,Front Psychol,12,,652948,10.3389/fpsyg.2021.652948
"Psychological impacts of ""screen time"" and ""green time"" for children and adolescents: A systematic scoping review.","Oswald, Tassia K; Rumbold, Alice R; Kedzior, Sophie G E; Moore, Vivienne M",2020,PloS one,15,9,e0237725,10.1371/journal.pone.0237725
Social media and eating disorder psychopathology: A systematic review,"Padín, Paula Frieiro; González-Rodríguez, Rubén; Verde-Diego, Carmen; Vázquez-Pérez, Raquel",2021,Cyberpsychology,15,3,,https://doi.org/10.5817/CP2021-3-6
Health game interventions to enhance physical activity self-efficacy of children: a quantitative systematic review,"Pakarinen, Anni; Parisod, Heidi; Smed, Jouni; Salanterä, Sanna",2017,Journal Of Advanced Nursing,73,4,794-811,10.1111/jan.13160
Neural Basis of Video Gaming: A Systematic Review,"Palaus, Marc; Marron, Elena M.; Viejo-Sobera, Raquel; Redolar-Ripoll, Diego",2017,Frontiers In Human Neuroscience,11,,248-248,10.3389/fnhum.2017.00248
"The Effects of Playing Video Games on Stress, Anxiety, Depression, Loneliness, and Gaming Disorder During the Early Stages of the COVID-19 Pandemic: PRISMA Systematic Review","Pallavicini, F.; Pepe, A.; Mantovani, F.",2022,Cyberpsychol Behav Soc Netw,25,6,334-354,10.1089/cyber.2021.0252
Commercial Off-The-Shelf Video Games for Reducing Stress and Anxiety: Systematic Review.,"Pallavicini, Federica; Pepe, Alessandro; Mantovani, Fabrizia",2021,JMIR mental health,8,8,e28150,10.2196/28150
A research synthesis of the real value of self-proclaimed mobile educational applications for young children,"Papadakis, Stamatios; Kalogiannakis, Michail; Papadakis, Stamatios; Kalogiannakis, Michail",2020,Mobile learning applications in early childhood education.,,,Jan-19,
Exploring the potential of computer and video games for health and physical education: A literature review,"Papastergiou, M.",2009,Computers & Education,53,3,603-622,
Promoting Children's Health with Digital Games: A Review of Reviews,"Parisod, H.; Pakarinen, A.; Kauhanen, L.; Aromaa, M.; Leppanen, V.; Liukkonen, T. N.; Smed, J.; Salantera, S.",2014,Games for Health Journal,3,3,145-+,
Activity-related behavior typologies in youth: a systematic review,"Parker, Kate E.; Salmon, Jo; Costigan, Sarah A.; Villanueva, Karen; Brown, Helen L.; Timperio, Anna",2019,International Journal of Behavioral Nutrition & Physical Activity,16,1,N.PAG-N.PAG,10.1186/s12966-019-0804-7
Effectiveness of Text Message Interventions for Weight Management in Adolescents: Systematic Review,"Partridge, S. R.; Raeside, R.; Singleton, A.; Hyun, K.; Redfern, J.",2020,JMIR Mhealth Uhealth,8,5,e15849,10.2196/15849
Effects of Cognitive Training Programs on Executive Function in Children and Adolescents with Autism Spectrum Disorder: A Systematic Review.,"Pasqualotto, Angela; Mazzoni, Noemi; Bentenuto, Arianna; Mulè, Anna; Benso, Francesco; Venuti, Paola",2021,Brain sciences,11,10,,10.3390/brainsci11101280
Primary Care Behavioral Interventions to Prevent or Reduce Illicit Drug and Nonmedical Pharmaceutical Use in Children and Adolescents: A Systematic Evidence Review for the U.S. Preventive Services Task Force,"Patnode, Carrie D.; O'Connor, Elizabeth; Rowland, Maya; Burda, Brittany U.; Perdue, Leslie A.; Whitlock, Evelyn P.",2014,,,,,
"A debate about risk, violence, and gender: a review of health production on sexting among young people","Patrocino, L. B.; Bevilacqua, P. D.",2021,Cien Saude Colet,26,7,2709-2718,10.1590/1413-81232021267.07482021
Correlates of mobile screen media use among children aged 0-8: A systematic review,"Paudel, S.; Jancey, J.; Subedi, N.; Leavy, J.",2017,BMJ Open,7 (10) (no pagination),e014585,,http://dx.doi.org/10.1136/bmjopen-2016-014585
A systematic review of reading interventions for secondary school students,"Paul, S. A. S.; Clarke, P. J.",2016,International Journal of Educational Research,79,,116-127,
Electronic Media and Early Childhood: A Review.,"Paulus, Frank W; Möhler, Eva; Recktenwald, Franziska; Albert, Amélie; Mall, Volker",2021,Klinische Padiatrie,233,4,157-172,10.1055/a-1335-4936
"Sedentary behavior and dietary intake in children, adolescents, and adults: A systematic review","Pearson, N.; Biddle, S. J. H.",2011,American Journal of Preventive Medicine,41,2,178-188,
A Systematic Literature Review on the User Experience Design for Game-Based Interventions via 3D Virtual Worlds in K-12 Education,"Pellas, Nikolaos; Mystakidis, Stylianos; Christopoulos, Athanasios",2021,Multimodal Technologies and Interaction,5,6,28,http://dx.doi.org/10.3390/mti5060028
"Virtual prevention of eating disorders in children, adolescents, and emerging adults: a scoping review","Pellegrini, Danielle; Grennan, Laura; Bhatnagar, Neera; McVey, Gail; Couturier, Jennifer",2022,Journal of Eating Disorders,10,,Jan-44,https://doi.org/10.1186/s40337-022-00616-8
Using active video games for physical activity promotion: a systematic review of the current state of research,"Peng, Wei; Crouse, Julia C.; Lin, Jih-Hsuan",2013,Health Education & Behavior: The Official Publication Of The Society For Public Health Education,40,2,171-192,10.1177/1090198112444956
Computer-Assisted Instruction for Teaching Academic Skills to Students With Autism Spectrum Disorders: A Review of Literature,"Pennington, R. C.",2010,Focus on Autism and Other Developmental Disabilities,25,4,239-248,
Exposure to video games: Effects on sleep and on post-sleep cognitive abilities. A systematic review of experimental evidences,"Peracchia, S.; Curcio, G.",2018,Sleep Science,11,4,302-314,http://dx.doi.org/10.5935/1984-0063.20180046
Correlates of Sedentary Time in Young Children: A Systematic Review,"Pereira, J. R.; Zhang, Z.; Sousa-Sa, E.; Santos, R.; Cliff, D. P.",2020,European journal of sport science,,,1-194,http://dx.doi.org/10.1080/17461391.2020.1741689
Technology in Gifted Education: A Review of Best Practices and Empirical Research,"Periathiruvadi, Sita sitaperi gmail com; Rinn, Anne N.",2012,Journal of Research on Technology in Education,45,2,153-169,
Web-based and mobile suicide prevention interventions for young people: A Systematic Review,"Perry, Y.; Werner-Seidler, A.; Calear, A. L.; Christensen, H.",2016,Journal of the Canadian Academy of Child and Adolescent Psychiatry,25,2,73-79,
Inconclusive Findings in Studies of the Link Between Media Coverage of Mass Trauma and Depression in Children,"Pfefferbaum, B.; Tucker, P.; Nitiéma, P.; Van Horn, R. L.; Varma, V.; Varma, Y.; Slaughter, A.; Newman, E.",2022,Curr Psychiatry Rep,24,3,181-193,10.1007/s11920-022-01328-1
The efficacy of cognitive interventions for improving cognitive performance and academic achievement in children after cancer treatment: A systematic review,"Pfeiffer, S. M.; Hutchinson, A. D.",2018,J Psychosoc Oncol,36,2,238-258,10.1080/07347332.2017.1399954
Measures of the home environment related to childhood obesity: a systematic review,"Pinard, C. A.; Yaroch, A. L.; Hart, M. H.; Serrano, E. L.; McFerren, M. M.; Estabrooks, P. A.",2012,Public health nutrition,15,1,97-109,
Foreign Language Learning Gamification Using Virtual Reality--A Systematic Review of Empirical Research,"Pinto, Rafael Darque; Peixoto, Bruno; Melo, Miguel; Cabral, Luciana; Bessa, Maximino",2021,Education Sciences,11,,,
How best to teach CPR to schoolchildren: A systematic review,"Plant, N.; Taylor, K.",2013,Resuscitation,84,4,415-421,
Systematic review of the relationships between sedentary behaviour and health indicators in the early years (0-4 years),"Poitras, V. J.; Gray, C. E.; Janssen, X.; Aubert, S.; Carson, V.; Faulkner, G.; Goldfield, G. S.; Reilly, J. J.; Sampson, M.; Tremblay, M. S.",2017,BMC Public Health,17,Suppl 5,868,10.1186/s12889-017-4849-8
Learning to code or coding to learn? A systematic review,"Popat, Shahira; Starkey, Louise",2019,Computers & Education,128,,365-376,10.1016/j.compedu.2018.10.005
Videogame-Related Illness and Injury: A Review of the Literature and Predictions for Pokemon GO!,"Pourmand, A.; Lombardi, K.; Kuhl, E.; O'Connell, F.",2017,Games for Health Journal,6,1,Sep-18,
Television food advertisements and childhood obesity: A systematic review.,"Pourmoradian, Samira; Ostadrahimi, Alireza; Bonab, Ali Milani; Roudsari, Arezoo Haghighian; Jabbari, Masoumeh; Irandoost, Pardis",2021,International journal for vitamin and nutrition research. Internationale Zeitschrift fur Vitamin- und Ernahrungsforschung. Journal international de vitaminologie et de nutrition,91,1-Feb,3-Sep,10.1024/0300-9831/a000681
"Physical activity, sedentary behavior, and childhood obesity: a review of cross-sectional studies","Prentice-Dunn, H.; Prentice-Dunn, S.",2012,"Psychology, health & medicine",17,3,255-273,
Role of video games in improving health-related outcomes: A systematic review,"Primack, B. A.; Carroll, M. V.; McNamara, M.; Klem, M. L.; King, B.; Rich, M.; Chan, C. W.; Nayak, S.",2012,American Journal of Preventive Medicine,42,6,630-638,
Fatigue due to smartphone use? Investigating research trends and methods for analysing fatigue caused by extensive smartphone usage: A review,"Priya, D. B.; Subramaniyam, M.",2022,Work,72,2,637-650,10.3233/wor-205351
Use of mobile apps and technologies in child and adolescent mental health: a systematic review,"Punukollu, Mallika; Marques, Mafalda",2019,Evidence - Based Mental Health,22,4,161,http://dx.doi.org/10.1136/ebmental-2019-300093
Videogames and health improvement: a literature review of randomized controlled trials,"Rahmani, Esmaeel; Boren, Suzanne Austin",2012,"GAMES FOR HEALTH: Research, Development, and Clinical Applications",1,5,331-341,
The Effect of Physical Activity and the Use of Active Video Games: Exergames in Children and Adolescents: A Systematic Review.,"Ramírez-Granizo, Irwin Andrés; Ubago-Jiménez, José Luis; González-Valero, Gabriel; Puertas-Molero, Pilar; San Román-Mata, Silvia",2020,International journal of environmental research and public health,17,12,,10.3390/ijerph17124243
Use of Computer-Based Interventions to Teach Communication Skills to Children with Autism Spectrum Disorders: A Systematic Review,"Ramdoss, Sathiyaprakash sathiya ramdoss mail utexas edu; Lang, Russell; Mulloy, Austin; Franco, Jessica; O'Reilly, Mark; Didden, Robert; Lancioni, Giulio",2011,Journal of Behavioral Education,20,1,55-76,10.1007/s10864-010-9112-7
The Factors Determining the Physical Activity of Students: A Systematic Review,"Ramezankhani, A.; Alipour-Anbarani, M.; Saeidi, M.",2019,International Journal of Pediatrics-Mashhad,7,8,9977-9985,10.22038/ijp.2019.41932.3533
Reducing Recreational Sedentary Screen Time: A Community Guide Systematic Review,"Ramsey Buchanan, L.; Rooks-Peck, C. R.; Finnie, R. K. C.; Wethington, H. R.; Jacob, V.; Fulton, J. E.; Johnson, D. B.; Kahwati, L. C.; Pratt, C. A.; Ramirez, G.; Glanz, K.",2016,American Journal of Preventive Medicine,50,3,402-415,
Tablet-Based eBooks for Young Children: What Does the Research Say?,"Reich, S. M.; Yau, J. C.; Warschauer, M.",2016,Journal of Developmental and Behavioral Pediatrics,37,7,585-591,
Social media use among adolescents: Benefits and risks,"Reid, D.; Weigle, P.",2014,Adolescent Psychiatry (Netherlands),4,2,73-80,
The health and development correlates of screen media exposure in children 0-5yrs: an integrative literature review,"Reus, Ellyse J.; Mosley, Ian T.",2018,Australian Journal of Child & Family Health Nursing,15,2,Dec-21,
Web-based interventions for youth internalizing problems: a systematic review (Provisional abstract),"Reyes-Portillo, J. A.; Mufson, L.; Greenhill, L. L.; Gould, M. S.; Fisher, P. W.; Tarlow, N.; Rynn, M. A.",2014,Database of Abstracts of Reviews of Effects,,2,1254-1270.e5,
Web-based interventions for youth internalizing problems: A systematic review,"Reyes-Portillo, Jazmin A.; Mufson, Laura; Greenhill, Laurence L.; Gould, Madelyn S.; Fisher, Prudence W.; Tarlow, Naomi; Rynn, Moira A.",2014,Journal of the American Academy of Child & Adolescent Psychiatry,53,12,1254-1270,10.1016/j.jaac.2014.09.005
Sedentary behaviour and obesity development in children and adolescents,"Rey-Lopez, J. P.; Vicente-Rodriguez, G.; Biosca, M.; Moreno, L. A.",2008,"Nutrition, Metabolism and Cardiovascular Diseases",18,3,242-251,
SEDENTARY BEHAVIOR AND CARDIOVASCULAR RISK IN CHILDREN: A SYSTEMATIC REVIEW. / COMPORTAMIENTO SEDENTARIO Y RIESGO CARDIOVASCULAR EN NIÑOS: UNA REVISIÓN SISTEMÁTICA,"Ribeiro Canabrava, Karina Lúcia; dos Santos Amorim, Paulo Roberto; Neves Miranda, Valter Paulo; Eloiza Priore, Silvia; do Carmo Castro, Sylvia",2019,Revista Brasileira De Medicina Do Esporte,25,5,433-441,
Impacts of technology on children's health: a systematic review,"Ricci, R. C.; Paulo, A. S. C.; Freitas, Akpb; Ribeiro, I. C.; Pires, L. S. A.; Facina, M. E. L.; Cabral, M. B.; Parduci, N. V.; Spegiorin, R. C.; Bogado, S. S. G.; Chociay Junior, S.; Carachesti, T. N.; Larroque, M. M.",2022,Rev Paul Pediatr,41,,e2020504,10.1590/1984-0462/2023/41/2020504
Conduct problems and depressive symptoms in association with problem gambling and gaming: A systematic review.,"Richard, Jérémie; Fletcher, Émilie; Boutin, Stephanie; Derevensky, Jeffrey; Temcheff, Caroline",2020,Journal of behavioral addictions,9,3,497-533,10.1556/2006.2020.00045
Mobile phone dermatitis in children and adults: A review of the literature,"Richardson, C.; Hamann, C. R.; Hamann, D.; Thyssen, J. P.",2014,"Pediatric, Allergy, Immunology, and Pulmonology",27,2,60-69,
The use of social networking sites in mental health interventions for young people: Systematic review,"Ridout, Brad; Campbell, Andrew",2018,Journal of Medical Internet Research,20,12,,10.2196/12244
Headsprout: A Systematic Review of the Evidence,"Rigney, Alexander M.; Hixson, Michael D.; Drevon, Daniel D.",2020,Journal of Behavioral Education,29,1,153-167,http://dx.doi.org/10.1007/s10864-019-09345-6
Social media and suicide prevention: A systematic review,"Robinson, Jo; Cox, Georgina; Bailey, Eleanor; Hetrick, Sarah; Rodrigues, Maria; Fisher, Steve; Herrman, Helen",2016,Early Intervention in Psychiatry,10,2,103-121,10.1111/eip.12229
Benefits and damages of the use of touchscreen devices for the development and behavior of children under 5 years old-a systematic review.,"Rocha, Bruno; Nunes, Cristina",2020,"Psicologia, reflexao e critica : revista semestral do Departamento de Psicologia da UFRGS",33,1,24,10.1186/s41155-020-00163-8
The Impacts of Sexual Media Exposure on Adolescent and Emerging Adults' Dating and Sexual Violence Attitudes and Behaviors: A Critical Review of the Literature,"Rodenhizer, K. A. E.; Edwards, K. M.",2019,"Trauma, violence & abuse",20,4,439-452,http://dx.doi.org/10.1177/1524838017717745
A systematic review of computerised serious educational games about alcohol and other drugs for adolescents,"Rodriguez, D. M.; Teesson, M.; Newton, N. C.",2014,Drug and Alcohol Review,33,2,129-135,
Internet-Delivered Health Interventions That Work: Systematic Review of Meta-Analyses and Evaluation of Website Availability,"Rogers, M. A.; Lemmen, K.; Kramer, R.; Mann, J.; Chopra, V.",2017,J Med Internet Res,19,3,e90,10.2196/jmir.7111
Establishing Computer-Assisted Instruction to Teach Academics to Students with Autism as an Evidence-Based Practice,"Root, Jenny R.; Stevenson, Bradley S.; Davis, Luann Ley; Geddes-Hall, Jennifer; Test, David W.",2017,Journal Of Autism And Developmental Disorders,47,2,275-284,10.1007/s10803-016-2947-6
A Systematic Review of Digital Interventions for Improving the Diet and Physical Activity Behaviors of Adolescents,"Rose, T.; Barker, M.; Maria Jacob, C.; Morrison, L.; Lawrence, W.; Strommer, S.; Vogel, C.; Woods-Townsend, K.; Farrell, D.; Inskip, H.; Baird, J.",2017,J Adolesc Health,61,6,669-677,10.1016/j.jadohealth.2017.05.024
Effects of intensive use of computers in secondary school on gender differences in attitudes towards ICT: A systematic review,"Roser, Cussó-Calabuig; Xavier Carrera, Farran; Bosch-Capblanch, Xavier",2018,Education and Information Technologies,,,Jan-29,http://dx.doi.org/10.1007/s10639-018-9706-6
Brain Training in Children and Adolescents: Is It Scientifically Valid?,"Rossignoli-Palomeque, T.; Perez-Hernandez, E.; Gonzalez-Marques, J.",2018,Front Psychol,9,,565,10.3389/fpsyg.2018.00565
